Genre,Count
Action,13
Adventure,8
Sci-Fi,7
Drama,10
Animation,4
Crime,9
Thriller,8
Short,3
Documentary,2
Romance,3
Comedy,2
Family,1
Film-Noir,1
Mystery,5
Horror,7
